scenario,year,mean,low,high
ssp126,2015,288.1459914640896,287.83328042657683,288.46543221182225
ssp126,2016,288.22077170605394,287.9216865092618,288.5787749611514
ssp126,2017,288.1983197671622,287.8957319016903,288.5292136324501
ssp126,2018,288.2897739347877,288.0126799199055,288.57824005766423
ssp126,2019,288.3981165521329,288.2137160131022,288.65566539950476
ssp126,2020,288.418476977828,288.2930103292611,288.6643151408025
ssp126,2021,288.3889374020205,288.0650479045228,288.62606370644625
ssp126,2022,288.5440564654802,288.28350971951636,288.7894162323474
ssp126,2023,288.54734622841937,288.3227580165806,288.7778742606308
ssp126,2024,288.57128161144425,288.3904969295681,288.80774655662134
ssp126,2025,288.57229412255475,288.4247538386615,288.8593563583153
ssp126,2026,288.66466998603715,288.3234998897281,288.9955175047134
ssp126,2027,288.74502238383417,288.3639747167618,289.1776775250535
ssp126,2028,288.6762183144439,288.30676261912237,289.24638322513016
ssp126,2029,288.6324617922526,288.333792156076,289.2171758867812
ssp126,2030,288.70162150550476,288.38961670775524,289.1637261514189
ssp126,2031,288.7031281201199,288.4957251731193,289.04043955092453
ssp126,2032,288.65792428405877,288.330044463301,289.1448418585692
ssp126,2033,288.7826313396283,288.53158345310806,289.24810340088726
ssp126,2034,288.76612165365776,288.46394030248666,289.2405924827552
ssp126,2035,288.8349115181672,288.63003224633786,289.2248606091626
ssp126,2036,288.8914189250675,288.7156110382857,289.23633980705944
ssp126,2037,288.8760700631415,288.6032427350005,289.29613186709906
ssp126,2038,288.9301975876915,288.73501263497286,289.2294263572655
ssp126,2039,289.05103040905016,288.8030150490855,289.3837776380289
ssp126,2040,288.97040611224025,288.61512140553805,289.41406943496185
ssp126,2041,288.9555001063668,288.5902325145846,289.41500181052305
ssp126,2042,289.10074428746054,288.80400277607436,289.4345440485209
ssp126,2043,289.11557375566986,288.93515878047833,289.4652711045614
ssp126,2044,289.08781054796697,288.80473672774525,289.4399590031753
ssp126,2045,289.0907491267897,288.75331145304557,289.5405883377486
ssp126,2046,289.2072765749522,289.0202471958682,289.54072787071897
ssp126,2047,289.1614022789574,288.76804866660365,289.5875998940355
ssp126,2048,289.1720230687385,288.7825887224462,289.6399646379518
ssp126,2049,289.1936890293444,288.9348395601515,289.56176571587093
ssp126,2050,289.18570837361904,288.84724449300876,289.59712374448713
ssp126,2051,289.1444787896541,288.7178565564721,289.5670041776088
ssp126,2052,289.25959329475944,288.8322670916945,289.63091602952215
ssp126,2053,289.2517345527026,288.8892114111173,289.65762338260555
ssp126,2054,289.17243970713656,288.87148930158855,289.51287952942835
ssp126,2055,289.2220254307303,289.02052405558186,289.57856606126296
ssp126,2056,289.23074377818784,288.81721970473114,289.5154466957852
ssp126,2057,289.14923142863216,288.86213575089636,289.4484704140928
ssp126,2058,289.1906150978793,288.9497669244129,289.39184218581414
ssp126,2059,289.22381051503913,288.90815837625735,289.5304218338648
ssp126,2060,289.34634205801007,289.12734822125947,289.5678535018482
ssp126,2061,289.38277726143184,288.97028630423745,289.87623641787906
ssp126,2062,289.32175344429265,288.82740899537686,289.7876812400552
ssp126,2063,289.2430765835003,288.78441927297564,289.62699491219365
ssp126,2064,289.3148552755726,288.8440009394033,289.77790256202474
ssp126,2065,289.3515752678335,288.9720142901749,289.8016277365206
ssp126,2066,289.38868021432086,289.00601486912154,289.751700577192
ssp126,2067,289.3689859732227,288.91027894365874,289.8283465836954
ssp126,2068,289.2709271173946,288.85303576236834,289.7047669657923
ssp126,2069,289.323513104391,288.8404707481905,289.73379644879526
ssp126,2070,289.41890202648096,288.9955443018857,289.8149446075799
ssp126,2071,289.43924935715677,289.1463011139806,289.80751574539505
ssp126,2072,289.36089949162016,288.9516144737754,289.69048273230277
ssp126,2073,289.3850661943536,289.0382686198914,289.75798339588493
ssp126,2074,289.35329875227194,288.9814323202292,289.6955475793854
ssp126,2075,289.3146398064241,288.93617510684527,289.6288676151308
ssp126,2076,289.4030854540281,289.09668641188745,289.77613604551107
ssp126,2077,289.35026186926945,288.9111556807599,289.6699565611722
ssp126,2078,289.3171061272783,288.8561789780705,289.6759376664224
ssp126,2079,289.2812341790865,288.70249804965084,289.71585341330547
ssp126,2080,289.3128364020112,288.9199679354679,289.52423752289104
ssp126,2081,289.41893623550686,289.07287382835557,289.6237793368249
ssp126,2082,289.3830753901239,288.94451234376515,289.6714890681803
ssp126,2083,289.2959976331227,288.8978607937264,289.5886811553336
ssp126,2084,289.3287327934702,289.08747907753275,289.52121539422797
ssp126,2085,289.36480639009574,288.9729492993333,289.5969937942322
ssp126,2086,289.2789722375309,288.97596664225983,289.52017915109434
ssp126,2087,289.308286280599,288.9272136923701,289.5751525562947
ssp126,2088,289.38409432902586,288.8751611261293,289.6718791863973
ssp126,2089,289.2836870056472,288.83220288378396,289.56402052419133
ssp126,2090,289.3635200504516,288.9590641158889,289.63415186217986
ssp126,2091,289.32153968715073,288.88786297362304,289.6456735032189
ssp126,2092,289.24122177770295,288.6872328652836,289.5829828528169
ssp126,2093,289.27546029496534,288.71008839827175,289.67935057013
ssp126,2094,289.29890992237955,288.7731113952005,289.7502016845487
ssp126,2095,289.38357103848176,288.96833605266846,289.7880263794429
ssp126,2096,289.36878386194917,288.7904140790761,289.8316990171283
ssp126,2097,289.2682487032985,288.6878966507721,289.824781961549
ssp126,2098,289.2825718218616,288.74811113696944,289.7409394445595
ssp126,2099,289.307299290838,288.75795592060416,289.6972125032227
ssp126,2100,289.21473545628356,288.7406207501014,289.53827573959194
ssp245,2015,288.1740599379417,287.9449269168402,288.49347226030204
ssp245,2016,288.2102165764548,287.843090343754,288.56239575781365
ssp245,2017,288.25133539852214,288.02260529857983,288.47024776211407
ssp245,2018,288.32105486919,288.0413334833724,288.53451092966264
ssp245,2019,288.4152856453088,287.99343924808585,288.88658056291564
ssp245,2020,288.3880617743603,288.0396841593186,288.87476572980563
ssp245,2021,288.4863863448727,288.1278758948386,288.92585049850976
ssp245,2022,288.5483981534128,288.27838861357617,288.8108340422311
ssp245,2023,288.5871369421575,288.2544040998519,288.9569164246471
ssp245,2024,288.6250742648276,288.2850017483698,289.0684668550888
ssp245,2025,288.5746775501154,288.35336339123097,288.90374436540634
ssp245,2026,288.60176708590774,288.37355701545386,288.9236143129116
ssp245,2027,288.7006587093028,288.5187136827938,289.0420131075031
